,primary,trunk,secondary,tertiary,dis
0,748,167,364,469,10
1,3300,1041,912,1272,20
2,633,317,244,495,30
3,379,150,197,389,40
4,319,136,184,401,50
5,310,132,184,380,60
6,299,109,164,338,70
7,335,108,196,313,80
8,264,105,184,354,90
9,260,98,177,299,100
10,242,83,165,293,110
11,238,112,146,342,120
12,197,119,150,293,130
13,194,100,146,289,140
14,192,107,153,271,150
15,184,88,140,294,160
16,219,90,155,282,170
17,157,80,142,264,180
18,167,76,147,266,190
19,156,91,143,255,200
20,142,103,162,246,210
21,178,88,157,227,220
22,138,96,150,233,230
23,154,108,131,219,240
24,149,96,159,233,250
25,133,105,149,213,260
26,119,93,176,221,270
27,147,91,143,179,280
28,126,84,150,196,290
29,113,97,164,173,300
30,126,83,153,161,310
31,115,96,161,147,320
32,91,91,146,177,330
33,80,91,133,181,340
34,94,82,159,170,350
35,76,75,149,120,360
36,83,73,137,122,370
37,82,69,131,119,380
38,78,77,144,123,390
39,76,80,150,117,400
40,64,65,103,94,410
41,65,73,117,86,420
42,79,57,115,93,430
43,66,50,115,80,440
44,63,60,101,91,450
45,60,69,104,110,460
46,59,71,111,97,470
47,49,61,101,72,480
48,57,64,101,76,490
49,50,71,92,65,500
50,46,70,79,66,510
51,41,70,91,60,520
52,58,64,100,57,530
53,44,67,91,59,540
54,43,76,83,37,550
55,39,63,93,49,560
56,25,87,106,46,570
57,35,69,100,49,580
58,36,88,97,49,590
59,25,68,88,60,600
60,28,85,64,44,610
61,40,70,73,52,620
62,44,69,75,44,630
63,44,69,63,48,640
64,45,65,69,40,650
65,45,62,62,42,660
66,36,74,65,37,670
67,46,74,55,37,680
68,34,71,73,28,690
69,33,77,56,36,700
70,24,72,67,23,710
71,22,78,62,25,720
72,28,86,57,25,730
73,36,55,63,16,740
74,31,56,66,19,750
75,33,75,50,20,760
76,24,88,55,21,770
77,28,70,52,27,780
78,14,59,59,23,790
79,21,82,52,24,800
80,16,73,47,15,810
81,21,78,47,16,820
82,19,83,46,16,830
83,18,68,30,21,840
84,24,87,46,15,850
85,14,60,29,23,860
86,26,70,40,22,870
87,19,69,25,16,880
88,17,79,32,23,890
89,21,71,29,14,900
90,16,64,32,23,910
91,20,61,40,27,920
92,21,77,48,19,930
93,22,78,54,22,940
94,28,72,34,31,950
95,22,74,41,14,960
96,18,87,32,21,970
97,23,83,29,18,980
98,25,97,58,14,990
99,16,91,45,9,1000
